"Supplementary Table 2: Drug-drug interactions detected in the screen. Drug interactions, their conservation across strains and across species, and whether they were probed for all or only part of the species. Interaction sign is “synergy” or “antagonism” in case of strong interactions, “NA” otherwise. Corresponding p-values and interactions scores are provided.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drug combination,,Conservation across species,Class-Class,Conservation across strains,,,Interacion sign,,,,,,Interacion score,,,,,,p-value,,,,,,Species conflict,Species probed
,Puromycin,Gentamicin,EC,other protein synthesis inhibitor_aminoglycoside,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.39750342,-0.106867637,NA,NA,NA,NA,0.027238221,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Bleomycin,Moxifloxacin,EC,quinolones_multiple,weak_conserved,NA,NA,Synergy,NA,NA,NA,NA,NA,-0.286363341,-0.169295891,NA,NA,NA,NA,0.009843406,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Amoxicillin,Doxycycline,EC,beta-lactam_tetracycline,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.108376005,0.087607451,NA,NA,NA,NA,0.046438821,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Amoxicillin,Procaine,EC,beta-lactam_human drug,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.233405322,0.261823236,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Amoxicillin,Vanillin,EC,beta-lactam_food additive,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.179480173,0.487941821,NA,NA,NA,NA,0.041831148,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Amoxicillin,Caffeine,EC,beta-lactam_food additive,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.16000844,0.064247745,NA,NA,NA,NA,0.012435227,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Amoxicillin,Metformin,EC,beta-lactam_human drug,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.244481275,0.174963722,NA,NA,NA,NA,0.046438821,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Chloramphenicol,Mecillinam,EC,beta-lactam_other protein synthesis inhibitor,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.130579848,0.243450139,NA,NA,NA,NA,0.019773113,0.045840486,NA,NA,NA,NA,no_conflict,ECSTPA
,Chloramphenicol,Imipenem,EC,beta-lactam_other protein synthesis inhibitor,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.140464845,0.178634798,NA,NA,NA,NA,0.004098642,0.017498889,NA,NA,NA,NA,no_conflict,ECSTPA
,Chloramphenicol,Metformin,EC,other protein synthesis inhibitor_human drug,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.156725606,0.229636943,NA,NA,NA,NA,0.004098642,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Ciprofloxacin,Procaine,EC,quinolones_human drug,conserved,NA,specific,Antagonism,Antagonism,NA,NA,Synergy,Antagonism,0.13441429,0.201965574,NA,NA,-0.310895064,0.379970016,0.005217578,0.001463305,NA,NA,0.002089943,0.002815025,no_conflict,ECSTPA
,Cycloserine D,Phleomycin,EC,other cell wall_multiple,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.119944147,0.125391684,NA,NA,NA,NA,0.044762604,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Doxycycline,Cefotaxime,EC,beta-lactam_tetracycline,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.133588013,0.096696496,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Spectinomycin,Fosfomycin,EC,other cell wall_aminoglycoside,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.350501363,0.299744082,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Spectinomycin,Procaine,EC,aminoglycoside_human drug,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.147127832,0.139202765,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Spectinomycin,Bleomycin,EC,multiple_aminoglycoside,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.134610583,0.173713542,NA,NA,NA,NA,0.049049125,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Fosfomycin,Benzalkonium,EC,other cell wall_other membrane,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.327446282,0.150156488,NA,NA,NA,NA,0.005217578,0.017498889,NA,NA,NA,NA,no_conflict,ECSTPA
,Fosfomycin,Trimethoprim,EC,other cell wall_folic acid biosynthesis,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.266135173,0.301269277,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Fosfomycin,Tobramycin,EC,other cell wall_aminoglycoside,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.218082498,0.065463837,NA,NA,NA,NA,0.009412936,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Fosfomycin,Rifampicin,EC,other cell wall_RNA polymerase,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.142687297,0.209264496,NA,NA,NA,NA,0.025110729,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Fosfomycin,Mitomycin C,EC,other cell wall_other DNA,conserved,NA,specific,Antagonism,Antagonism,NA,NA,Synergy,Antagonism,0.266286117,0.136999423,NA,NA,-0.220953385,0.266864296,0.001666307,0.02865346,NA,NA,0.002089943,0.002815025,no_conflict,ECSTPA
,Fosfomycin,Ciclopirox,EC,other cell wall_human drug,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.188632284,0.079201084,NA,NA,NA,NA,0.017082736,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Fosfomycin,CHIR-90,EC,other cell wall_LPS,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.167574298,0.088542768,NA,NA,NA,NA,0.006321736,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Novobiocin,Cefaclor,EC,beta-lactam_other DNA,not_comparable,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.166210005,-0.066473401,NA,NA,NA,NA,0.007360115,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Novobiocin,Rifampicin,EC,other DNA_RNA polymerase,not_comparable,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.140183451,-0.10857574,NA,NA,NA,NA,0.015287108,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Novobiocin,Aztreonam,EC,beta-lactam_other DNA,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.278791506,0.168244286,NA,NA,NA,NA,0.001666307,0.007206779,NA,NA,NA,NA,no_conflict,ECSTPA
,Fusidic acid,Benzalkonium,EC,other membrane_other protein synthesis inhibitor,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.17818777,0.082618242,NA,NA,NA,NA,0.013512711,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Fusidic acid,Trimethoprim,EC,folic acid biosynthesis_other protein synthesis inhibitor,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.156523573,0.082222316,NA,NA,NA,NA,0.008407909,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Fusidic acid,Mecillinam,EC,beta-lactam_other protein synthesis inhibitor,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.145957562,0.107305558,NA,NA,NA,NA,0.005217578,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Fusidic acid,Curcumin,EC,other protein synthesis inhibitor_food additive,not_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.190030376,-0.071222414,NA,NA,NA,NA,0.006321736,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Cefotaxime,Trimethoprim,EC,beta-lactam_folic acid biosynthesis,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.132932792,0.082081466,NA,NA,NA,NA,0.012435227,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Cefotaxime,Procaine,EC,beta-lactam_human drug,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.115584276,0.107859021,NA,NA,NA,NA,0.001666307,0.017498889,NA,NA,NA,NA,no_conflict,ECSTPA
,Cefotaxime,Caffeine,EC,beta-lactam_food additive,not_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.103274375,-0.040924106,NA,NA,NA,NA,0.008407909,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Cefotaxime,Mitomycin C,EC,beta-lactam_other DNA,not_comparable,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.13089821,-0.05956784,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Cefotaxime,Curcumin,EC,beta-lactam_food additive,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.16516404,0.23721209,NA,NA,NA,NA,0.03203013,0.010822467,NA,NA,NA,NA,no_conflict,ECSTPA
,Benzalkonium,Trimethoprim,EC,folic acid biosynthesis_other membrane,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.150714113,0.10543437,NA,NA,NA,NA,0.001666307,0.002551072,NA,NA,NA,NA,no_conflict,ECSTPA
,Benzalkonium,Mecillinam,EC,beta-lactam_other membrane,not_comparable,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.1788644,-0.002142373,NA,NA,NA,NA,0.023345905,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Cefaclor,Spiramycin,EC,beta-lactam_macrolide,not_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.101955643,0.033722429,NA,NA,NA,NA,0.009412936,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Cefaclor,Erythromycin,EC,beta-lactam_macrolide,not_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.128209819,-0.055069105,NA,NA,NA,NA,0.019773113,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Cefaclor,Caffeine,EC,beta-lactam_food additive,not_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.101410385,0.02699236,NA,NA,NA,NA,0.049049125,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Cefaclor,Puromycin,EC,beta-lactam_other protein synthesis inhibitor,not_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.108788421,-0.132439338,NA,NA,NA,NA,0.017082736,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Clindamycin,Bleomycin,EC,multiple_other protein synthesis inhibitor,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.175853469,0.117280713,NA,NA,NA,NA,0.015287108,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Spiramycin,Metformin,EC,macrolide_human drug,not_comparable,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.166334243,0.059783451,NA,NA,NA,NA,0.009412936,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Erythromycin,Imipenem,EC,beta-lactam_macrolide,not_comparable,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.141849378,0.044044348,NA,NA,NA,NA,0.009412936,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Erythromycin,Bleomycin,EC,multiple_macrolide,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.134824066,0.073677115,NA,NA,NA,NA,0.017082736,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Erythromycin,Metformin,EC,macrolide_human drug,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.199555579,0.117796722,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Erythromycin,Acetylsalisylic acid,EC,macrolide_human drug,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.126230727,0.068220001,NA,NA,NA,NA,0.02169783,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Erythromycin,Gentamicin,EC,aminoglycoside_macrolide,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.329798453,0.137696871,NA,NA,NA,NA,0.027833079,0.01331946,NA,NA,NA,NA,no_conflict,ECSTPA
,Trimethoprim,Clarithromycin,EC,folic acid biosynthesis_macrolide,not_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.115779417,-0.064899065,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Trimethoprim,CHIR-90,EC,folic acid biosynthesis_LPS,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.291428398,0.063130029,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,no_conflict,ECSTPA
