NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
RESPONSE TO HEAT	RESPONSE TO HEAT	Details ...	52	-0.5210442	-1.4759611	0.1637324	1.0	1.0	526	tags=44%, list=13%, signal=50%	
PROTEIN HEXAMERIZATION	PROTEIN HEXAMERIZATION	Details ...	12	-0.5794157	-1.4631474	0.026915114	1.0	1.0	783	tags=58%, list=19%, signal=72%	
GLUCOSE METABOLIC PROCESS	GLUCOSE METABOLIC PROCESS	Details ...	12	-0.6556614	-1.4545423	0.021442495	1.0	1.0	524	tags=50%, list=13%, signal=57%	
PROTEIN DIMERIZATION ACTIVITY	PROTEIN DIMERIZATION ACTIVITY	Details ...	14	-0.46961978	-1.4498597	0.0	1.0	1.0	435	tags=36%, list=10%, signal=40%	
RESPONSE TO METHYLGLYOXAL	RESPONSE TO METHYLGLYOXAL	Details ...	5	-0.71919197	-1.4468644	0.04509804	1.0	1.0	406	tags=60%, list=10%, signal=66%	
HISTIDINE BIOSYNTHETIC PROCESS	HISTIDINE BIOSYNTHETIC PROCESS	Details ...	10	-0.8321509	-1.4392495	0.0	1.0	1.0	394	tags=80%, list=9%, signal=88%	
TRANSCRIPTION REGULATORY REGION SEQUENCE-SPECIFIC DNA BINDING	TRANSCRIPTION REGULATORY REGION SEQUENCE-SPECIFIC DNA BINDING	Details ...	57	-0.36036262	-1.4321697	0.044573642	1.0	1.0	458	tags=26%, list=11%, signal=29%	
DEFENSE RESPONSE TO VIRUS	DEFENSE RESPONSE TO VIRUS		8	-0.6777575	-1.4271073	0.09580839	1.0	1.0	172	tags=38%, list=4%, signal=39%	
HSLUV PROTEASE COMPLEX	HSLUV PROTEASE COMPLEX		5	-0.888549	-1.4270264	0.0	1.0	1.0	221	tags=80%, list=5%, signal=84%	
HYDRO-LYASE ACTIVITY	HYDRO-LYASE ACTIVITY		12	-0.46602595	-1.4249034	0.05645161	1.0	1.0	439	tags=42%, list=11%, signal=46%	
AMINOACYL-TRNA EDITING ACTIVITY	AMINOACYL-TRNA EDITING ACTIVITY		9	-0.71455204	-1.424045	0.01980198	1.0	1.0	971	tags=78%, list=23%, signal=101%	
AMINOACYL-TRNA METABOLISM INVOLVED IN TRANSLATIONAL FIDELITY	AMINOACYL-TRNA METABOLISM INVOLVED IN TRANSLATIONAL FIDELITY		9	-0.71455204	-1.424045	0.01980198	1.0	1.0	971	tags=78%, list=23%, signal=101%	
BENT DNA BINDING	BENT DNA BINDING		5	-0.77072084	-1.4045275	0.0	1.0	1.0	147	tags=60%, list=4%, signal=62%	
MOLYBDENUM ION BINDING	MOLYBDENUM ION BINDING		16	-0.48771623	-1.3883458	0.10925926	1.0	1.0	675	tags=38%, list=16%, signal=45%	
IDENTICAL PROTEIN BINDING	IDENTICAL PROTEIN BINDING		384	-0.36851463	-1.3798156	0.052447554	1.0	1.0	1090	tags=42%, list=26%, signal=52%	
REGULATION OF CATALYTIC ACTIVITY	REGULATION OF CATALYTIC ACTIVITY		8	-0.7128929	-1.3782847	0.03314917	1.0	1.0	449	tags=63%, list=11%, signal=70%	
PROTEIN-CONTAINING COMPLEX	PROTEIN-CONTAINING COMPLEX		21	-0.49562618	-1.376739	0.08801498	1.0	1.0	353	tags=29%, list=8%, signal=31%	
LIPID BIOSYNTHETIC PROCESS	LIPID BIOSYNTHETIC PROCESS		8	-0.7527644	-1.3734902	0.052419353	1.0	1.0	371	tags=50%, list=9%, signal=55%	
D-GLUCONATE CATABOLIC PROCESS	D-GLUCONATE CATABOLIC PROCESS		7	-0.74608696	-1.3684683	0.053304903	1.0	1.0	868	tags=86%, list=21%, signal=108%	
CELL POLE	CELL POLE		9	-0.767646	-1.367428	0.04489796	1.0	1.0	944	tags=89%, list=23%, signal=115%	
GALACTITOL METABOLIC PROCESS	GALACTITOL METABOLIC PROCESS		6	-0.7724502	-1.36741	0.040816326	1.0	1.0	153	tags=50%, list=4%, signal=52%	
LYSINE BIOSYNTHETIC PROCESS	LYSINE BIOSYNTHETIC PROCESS		9	-0.70939034	-1.3659035	0.06818182	1.0	1.0	700	tags=67%, list=17%, signal=80%	
CHAPERONE BINDING	CHAPERONE BINDING		9	-0.6843482	-1.3622978	0.14917128	1.0	1.0	353	tags=56%, list=8%, signal=61%	
TRANSFERASE ACTIVITY, TRANSFERRING PENTOSYL GROUPS	TRANSFERASE ACTIVITY, TRANSFERRING PENTOSYL GROUPS		8	-0.5532165	-1.3578908	0.10891089	1.0	1.0	918	tags=50%, list=22%, signal=64%	
CELLULAR AMINO ACID BIOSYNTHETIC PROCESS	CELLULAR AMINO ACID BIOSYNTHETIC PROCESS		102	-0.50071305	-1.3574865	0.22244094	1.0	1.0	938	tags=51%, list=23%, signal=64%	
THREONINE CATABOLIC PROCESS	THREONINE CATABOLIC PROCESS		10	-0.6727487	-1.3550283	0.08067542	1.0	1.0	1087	tags=70%, list=26%, signal=95%	
MECHANOSENSITIVE ION CHANNEL ACTIVITY	MECHANOSENSITIVE ION CHANNEL ACTIVITY		7	-0.62515056	-1.3521472	0.12093863	1.0	1.0	501	tags=57%, list=12%, signal=65%	
PEPTIDE CATABOLIC PROCESS	PEPTIDE CATABOLIC PROCESS		6	-0.7067822	-1.3513064	0.093406595	1.0	1.0	795	tags=83%, list=19%, signal=103%	
CHORISMATE BIOSYNTHETIC PROCESS	CHORISMATE BIOSYNTHETIC PROCESS		11	-0.6271954	-1.3504763	0.1121673	1.0	1.0	812	tags=45%, list=20%, signal=56%	
CYTOCHROME COMPLEX ASSEMBLY	CYTOCHROME COMPLEX ASSEMBLY		12	-0.6564595	-1.3461035	0.21824686	1.0	1.0	627	tags=50%, list=15%, signal=59%	
GLUCONEOGENESIS	GLUCONEOGENESIS		14	-0.690335	-1.3415893	0.03219697	1.0	1.0	764	tags=64%, list=18%, signal=79%	
GALACTOSE CATABOLIC PROCESS VIA UDP-GALACTOSE	GALACTOSE CATABOLIC PROCESS VIA UDP-GALACTOSE		7	-0.7242902	-1.3386428	0.021141648	1.0	1.0	506	tags=57%, list=12%, signal=65%	
ENZYME REGULATOR ACTIVITY	ENZYME REGULATOR ACTIVITY		5	-0.7695275	-1.3357034	0.0	1.0	1.0	962	tags=100%, list=23%, signal=130%	
PYRIDINE NUCLEOTIDE BIOSYNTHETIC PROCESS	PYRIDINE NUCLEOTIDE BIOSYNTHETIC PROCESS		8	-0.5523251	-1.3350028	0.043977056	1.0	1.0	1047	tags=63%, list=25%, signal=83%	
FORMATE C-ACETYLTRANSFERASE ACTIVITY	FORMATE C-ACETYLTRANSFERASE ACTIVITY		5	-0.64821434	-1.3289801	0.10344828	1.0	1.0	547	tags=40%, list=13%, signal=46%	
CARBOXYLIC ESTER HYDROLASE ACTIVITY	CARBOXYLIC ESTER HYDROLASE ACTIVITY		11	-0.49239025	-1.3268648	0.17169811	1.0	1.0	554	tags=18%, list=13%, signal=21%	
NUCLEOTIDE METABOLIC PROCESS	NUCLEOTIDE METABOLIC PROCESS		11	-0.5823181	-1.3227855	0.21146953	1.0	1.0	1640	tags=82%, list=39%, signal=135%	
MO-MOLYBDOPTERIN COFACTOR BIOSYNTHETIC PROCESS	MO-MOLYBDOPTERIN COFACTOR BIOSYNTHETIC PROCESS		14	-0.52270055	-1.3204297	0.23060797	1.0	1.0	630	tags=36%, list=15%, signal=42%	
BIOSYNTHETIC PROCESS	BIOSYNTHETIC PROCESS		46	-0.44831258	-1.318111	0.12937063	1.0	1.0	1056	tags=52%, list=25%, signal=69%	
PEPTIDASE ACTIVITY	PEPTIDASE ACTIVITY		83	-0.33554468	-1.3176941	0.094076656	1.0	1.0	1067	tags=48%, list=26%, signal=64%	
CELLULAR RESPONSE TO CELL ENVELOPE STRESS	CELLULAR RESPONSE TO CELL ENVELOPE STRESS		7	-0.61872995	-1.3147404	0.22020201	1.0	1.0	261	tags=29%, list=6%, signal=30%	
PERIPLASMIC SIDE OF CELL OUTER MEMBRANE	PERIPLASMIC SIDE OF CELL OUTER MEMBRANE		5	-0.76253617	-1.31471	0.036072146	1.0	1.0	991	tags=100%, list=24%, signal=131%	
LYASE ACTIVITY	LYASE ACTIVITY		161	-0.35955372	-1.3133476	0.09576427	1.0	1.0	858	tags=33%, list=21%, signal=40%	
MONOSACCHARIDE BINDING	MONOSACCHARIDE BINDING		7	-0.70665747	-1.3110381	0.09166667	1.0	1.0	777	tags=71%, list=19%, signal=88%	
METALLOENDOPEPTIDASE ACTIVITY	METALLOENDOPEPTIDASE ACTIVITY		18	-0.5400577	-1.3097602	0.14363636	1.0	1.0	875	tags=44%, list=21%, signal=56%	
DEPHOSPHORYLATION	DEPHOSPHORYLATION		43	-0.49356744	-1.3074946	0.07779886	1.0	1.0	1110	tags=53%, list=27%, signal=72%	
GLYCOLYTIC PROCESS	GLYCOLYTIC PROCESS		21	-0.6701053	-1.3032364	0.114583336	1.0	1.0	1330	tags=95%, list=32%, signal=139%	
BIOTIN BIOSYNTHETIC PROCESS	BIOTIN BIOSYNTHETIC PROCESS		10	-0.6173487	-1.2991854	0.251497	1.0	1.0	1168	tags=70%, list=28%, signal=97%	
SERINE-TYPE PEPTIDASE ACTIVITY	SERINE-TYPE PEPTIDASE ACTIVITY		18	-0.43535918	-1.2984276	0.10664336	1.0	1.0	456	tags=33%, list=11%, signal=37%	
UNFOLDED PROTEIN BINDING	UNFOLDED PROTEIN BINDING		22	-0.5437077	-1.2980384	0.26666668	1.0	1.0	407	tags=41%, list=10%, signal=45%	
CYTOSOL	CYTOSOL		987	-0.36083457	-1.2935442	0.11320755	1.0	1.0	998	tags=38%, list=24%, signal=38%	
TRANSAMINASE ACTIVITY	TRANSAMINASE ACTIVITY		22	-0.5781053	-1.2934159	0.21212122	1.0	1.0	1448	tags=73%, list=35%, signal=111%	
CYTOPLASMIC SIDE OF PLASMA MEMBRANE	CYTOPLASMIC SIDE OF PLASMA MEMBRANE		12	-0.48881647	-1.2927408	0.14587332	1.0	1.0	518	tags=25%, list=12%, signal=28%	
RESPONSE TO STARVATION	RESPONSE TO STARVATION		8	-0.606825	-1.2915896	0.21343873	1.0	1.0	1116	tags=50%, list=27%, signal=68%	
RACEMASE AND EPIMERASE ACTIVITY, ACTING ON CARBOHYDRATES AND DERIVATIVES	RACEMASE AND EPIMERASE ACTIVITY, ACTING ON CARBOHYDRATES AND DERIVATIVES		8	-0.60502	-1.2896254	0.1910569	1.0	1.0	909	tags=75%, list=22%, signal=96%	
INTRAMOLECULAR TRANSFERASE ACTIVITY, PHOSPHOTRANSFERASES	INTRAMOLECULAR TRANSFERASE ACTIVITY, PHOSPHOTRANSFERASES		5	-0.6523209	-1.2884989	0.18309858	1.0	1.0	285	tags=40%, list=7%, signal=43%	
PROTEIN DISULFIDE OXIDOREDUCTASE ACTIVITY	PROTEIN DISULFIDE OXIDOREDUCTASE ACTIVITY		13	-0.399024	-1.2866497	0.1741573	1.0	1.0	624	tags=31%, list=15%, signal=36%	
AMP BINDING	AMP BINDING		5	-0.6711393	-1.2865828	0.08668076	1.0	1.0	540	tags=80%, list=13%, signal=92%	
BAM PROTEIN COMPLEX	BAM PROTEIN COMPLEX		5	-0.71086025	-1.2857705	0.17584746	1.0	1.0	467	tags=40%, list=11%, signal=45%	
CELLULAR RESPONSE TO OSMOTIC STRESS	CELLULAR RESPONSE TO OSMOTIC STRESS		5	-0.6118525	-1.2854863	0.18558559	1.0	1.0	71	tags=40%, list=2%, signal=41%	
GLYOXYLATE CYCLE	GLYOXYLATE CYCLE		8	-0.6355598	-1.2846266	0.08431373	1.0	1.0	184	tags=38%, list=4%, signal=39%	
ISOMERASE ACTIVITY	ISOMERASE ACTIVITY		101	-0.3189848	-1.283704	0.071428575	1.0	1.0	728	tags=29%, list=18%, signal=34%	
CELLULAR RESPONSE TO HEAT	CELLULAR RESPONSE TO HEAT		7	-0.690944	-1.2824147	0.042833608	1.0	1.0	811	tags=71%, list=20%, signal=89%	
PHOSPHORELAY RESPONSE REGULATOR ACTIVITY	PHOSPHORELAY RESPONSE REGULATOR ACTIVITY		24	-0.42261449	-1.2812982	0.18358532	1.0	1.0	884	tags=38%, list=21%, signal=47%	
PYRIMIDINE NUCLEOBASE METABOLIC PROCESS	PYRIMIDINE NUCLEOBASE METABOLIC PROCESS		5	-0.708215	-1.2809323	0.113168724	1.0	1.0	965	tags=80%, list=23%, signal=104%	
MAGNESIUM ION BINDING	MAGNESIUM ION BINDING		173	-0.3925209	-1.2794713	0.11500975	1.0	1.0	1266	tags=47%, list=30%, signal=65%	
LEUCINE TRANSPORT	LEUCINE TRANSPORT		5	-0.63186646	-1.2777202	0.19868995	1.0	1.0	28	tags=20%, list=1%, signal=20%	
GLUTATHIONE TRANSMEMBRANE TRANSPORT	GLUTATHIONE TRANSMEMBRANE TRANSPORT		5	-0.7511085	-1.2773892	0.18074656	1.0	1.0	757	tags=60%, list=18%, signal=73%	
SIGNAL PEPTIDE PROCESSING	SIGNAL PEPTIDE PROCESSING		5	-0.5394949	-1.2769419	0.18541667	1.0	1.0	148	tags=40%, list=4%, signal=41%	
METABOLIC PROCESS	METABOLIC PROCESS		116	-0.3492642	-1.2751548	0.08413002	1.0	1.0	999	tags=38%, list=24%, signal=49%	
COBALAMIN BIOSYNTHETIC PROCESS	COBALAMIN BIOSYNTHETIC PROCESS		8	-0.6010781	-1.2750663	0.19807692	1.0	1.0	1138	tags=50%, list=27%, signal=69%	
L-CYSTEINE DESULFHYDRASE ACTIVITY	L-CYSTEINE DESULFHYDRASE ACTIVITY		5	-0.7774831	-1.2740273	0.2446602	1.0	1.0	929	tags=100%, list=22%, signal=129%	
INTRINSIC COMPONENT OF PERIPLASMIC SIDE OF PLASMA MEMBRANE	INTRINSIC COMPONENT OF PERIPLASMIC SIDE OF PLASMA MEMBRANE		5	-0.7305796	-1.2723603	0.2609489	1.0	1.0	1120	tags=80%, list=27%, signal=109%	
PHOSPHORYLATION	PHOSPHORYLATION		157	-0.30996844	-1.2654312	0.10750507	1.0	1.0	849	tags=33%, list=20%, signal=40%	
TRANSFERASE ACTIVITY, TRANSFERRING PHOSPHORUS-CONTAINING GROUPS	TRANSFERASE ACTIVITY, TRANSFERRING PHOSPHORUS-CONTAINING GROUPS		37	-0.33950523	-1.2653289	0.15315315	1.0	1.0	569	tags=27%, list=14%, signal=31%	
PROTEIN CATABOLIC PROCESS	PROTEIN CATABOLIC PROCESS		8	-0.6468348	-1.2594726	0.12316176	1.0	1.0	609	tags=50%, list=15%, signal=58%	
PROTEOLYSIS	PROTEOLYSIS		112	-0.31094712	-1.2575058	0.16968699	1.0	1.0	1067	tags=45%, list=26%, signal=58%	
EFFLUX PUMP COMPLEX	EFFLUX PUMP COMPLEX		5	-0.6736935	-1.2574741	0.19512194	1.0	1.0	746	tags=60%, list=18%, signal=73%	
KINASE ACTIVITY	KINASE ACTIVITY		154	-0.3103738	-1.2528192	0.10750507	1.0	1.0	966	tags=36%, list=23%, signal=45%	
POLYAMINE TRANSPORT	POLYAMINE TRANSPORT		5	-0.6002837	-1.2501639	0.19653179	1.0	1.0	124	tags=20%, list=3%, signal=21%	
REGULATION OF CELL DIVISION	REGULATION OF CELL DIVISION		7	-0.49237722	-1.2498267	0.105932206	1.0	1.0	116	tags=29%, list=3%, signal=29%	
PORPHYRIN-CONTAINING COMPOUND BIOSYNTHETIC PROCESS	PORPHYRIN-CONTAINING COMPOUND BIOSYNTHETIC PROCESS		15	-0.4818899	-1.2463161	0.2209073	1.0	1.0	974	tags=47%, list=23%, signal=61%	
PHOSPHATASE ACTIVITY	PHOSPHATASE ACTIVITY		27	-0.5044625	-1.2461576	0.1539961	1.0	1.0	751	tags=44%, list=18%, signal=54%	
AMIDE TRANSPORT	AMIDE TRANSPORT		5	-0.6437634	-1.2456846	0.21824686	1.0	1.0	617	tags=40%, list=15%, signal=47%	
GLYCEROL CATABOLIC PROCESS	GLYCEROL CATABOLIC PROCESS		9	-0.79405534	-1.2452203	0.11111111	1.0	1.0	664	tags=56%, list=16%, signal=66%	
ACETOLACTATE SYNTHASE COMPLEX	ACETOLACTATE SYNTHASE COMPLEX		5	-0.6716957	-1.244949	0.22429906	1.0	1.0	1336	tags=80%, list=32%, signal=118%	
PEROXIREDOXIN ACTIVITY	PEROXIREDOXIN ACTIVITY		6	-0.6155517	-1.2443645	0.1523046	1.0	1.0	1099	tags=67%, list=26%, signal=91%	
POSITIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION, INITIATION	POSITIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION, INITIATION		10	-0.45088455	-1.241235	0.18843284	1.0	1.0	799	tags=40%, list=19%, signal=49%	
LYTIC ENDOTRANSGLYCOSYLASE ACTIVITY	LYTIC ENDOTRANSGLYCOSYLASE ACTIVITY		6	-0.5689828	-1.2396139	0.18382353	1.0	1.0	818	tags=33%, list=20%, signal=41%	
THIAMINE PYROPHOSPHATE BINDING	THIAMINE PYROPHOSPHATE BINDING		11	-0.5161815	-1.2382662	0.1750503	1.0	1.0	947	tags=45%, list=23%, signal=59%	
ATP-DEPENDENT PEPTIDASE ACTIVITY	ATP-DEPENDENT PEPTIDASE ACTIVITY		7	-0.5331859	-1.2356367	0.2151463	1.0	1.0	804	tags=71%, list=19%, signal=88%	
METALLOPEPTIDASE ACTIVITY	METALLOPEPTIDASE ACTIVITY		34	-0.40277016	-1.2352214	0.22099447	1.0	1.0	875	tags=50%, list=21%, signal=63%	
DIMETHYL SULFOXIDE REDUCTASE ACTIVITY	DIMETHYL SULFOXIDE REDUCTASE ACTIVITY		6	-0.71232677	-1.2326465	0.19483101	1.0	1.0	696	tags=67%, list=17%, signal=80%	
PENTOSE-PHOSPHATE SHUNT	PENTOSE-PHOSPHATE SHUNT		10	-0.67004585	-1.2317071	0.14807692	1.0	1.0	1378	tags=100%, list=33%, signal=149%	
PROTEIN-CONTAINING COMPLEX ASSEMBLY	PROTEIN-CONTAINING COMPLEX ASSEMBLY		5	-0.743991	-1.2263601	0.22610295	1.0	1.0	353	tags=60%, list=8%, signal=65%	
CELLULAR OXIDANT DETOXIFICATION	CELLULAR OXIDANT DETOXIFICATION		17	-0.51019126	-1.2255427	0.32142857	1.0	1.0	1162	tags=59%, list=28%, signal=81%	
TRNA AMINOACYLATION FOR PROTEIN TRANSLATION	TRNA AMINOACYLATION FOR PROTEIN TRANSLATION		18	-0.612126	-1.2246989	0.4690909	1.0	1.0	1086	tags=72%, list=26%, signal=97%	
NEGATIVE REGULATION OF DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY	NEGATIVE REGULATION OF DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY		6	-0.64341176	-1.2203364	0.26078433	1.0	1.0	944	tags=50%, list=23%, signal=65%	
PROTEIN SERINE/THREONINE KINASE ACTIVITY	PROTEIN SERINE/THREONINE KINASE ACTIVITY		5	-0.7490991	-1.220138	0.13026053	1.0	1.0	796	tags=80%, list=19%, signal=99%	
NAD BINDING	NAD BINDING		42	-0.43613565	-1.2178048	0.26763487	1.0	1.0	892	tags=45%, list=21%, signal=57%	
ADP BINDING	ADP BINDING		11	-0.47665945	-1.2173214	0.16477273	1.0	1.0	497	tags=36%, list=12%, signal=41%	
ENZYME INHIBITOR ACTIVITY	ENZYME INHIBITOR ACTIVITY		7	-0.52424175	-1.2167885	0.22140221	1.0	1.0	552	tags=43%, list=13%, signal=49%	
ACETYLTRANSFERASE ACTIVITY	ACETYLTRANSFERASE ACTIVITY		10	-0.5016306	-1.2149692	0.14565217	1.0	1.0	334	tags=30%, list=8%, signal=33%	
PYRIDOXINE BIOSYNTHETIC PROCESS	PYRIDOXINE BIOSYNTHETIC PROCESS		8	-0.65057546	-1.2123029	0.21521336	1.0	1.0	1118	tags=75%, list=27%, signal=102%	
DIAMINOPIMELATE BIOSYNTHETIC PROCESS	DIAMINOPIMELATE BIOSYNTHETIC PROCESS		5	-0.77336794	-1.2093697	0.14853556	1.0	1.0	599	tags=80%, list=14%, signal=93%	
HEME BIOSYNTHETIC PROCESS	HEME BIOSYNTHETIC PROCESS		7	-0.6185936	-1.2051625	0.30291262	1.0	1.0	1587	tags=86%, list=38%, signal=138%	
SERINE-TYPE ENDOPEPTIDASE ACTIVITY	SERINE-TYPE ENDOPEPTIDASE ACTIVITY		14	-0.431512	-1.2047365	0.28288287	1.0	1.0	450	tags=36%, list=11%, signal=40%	
D-GALACTURONATE CATABOLIC PROCESS	D-GALACTURONATE CATABOLIC PROCESS		6	-0.7427823	-1.2037302	0.18315789	1.0	1.0	785	tags=83%, list=19%, signal=103%	
AMINOPEPTIDASE ACTIVITY	AMINOPEPTIDASE ACTIVITY		13	-0.47224557	-1.2006717	0.19628099	1.0	1.0	801	tags=54%, list=19%, signal=67%	
NADP BINDING	NADP BINDING		30	-0.42000777	-1.1995695	0.21095334	1.0	1.0	1201	tags=53%, list=29%, signal=74%	
RIBOFLAVIN BIOSYNTHETIC PROCESS	RIBOFLAVIN BIOSYNTHETIC PROCESS		9	-0.45542765	-1.1964613	0.19654427	1.0	1.0	267	tags=33%, list=6%, signal=36%	
ZINC ION BINDING	ZINC ION BINDING		149	-0.32070726	-1.1950312	0.1724138	1.0	1.0	1059	tags=40%, list=25%, signal=51%	
METHIONINE TRANSPORT	METHIONINE TRANSPORT		5	-0.68787074	-1.1944906	0.29316548	1.0	1.0	1187	tags=80%, list=29%, signal=112%	
PHOSPHORELAY SIGNAL TRANSDUCTION SYSTEM	PHOSPHORELAY SIGNAL TRANSDUCTION SYSTEM		65	-0.2730107	-1.1940926	0.14486921	1.0	1.0	987	tags=29%, list=24%, signal=38%	
CARBOHYDRATE METABOLIC PROCESS	CARBOHYDRATE METABOLIC PROCESS		140	-0.38150638	-1.1934884	0.1656051	1.0	1.0	698	tags=33%, list=17%, signal=38%	
DIPEPTIDASE ACTIVITY	DIPEPTIDASE ACTIVITY		6	-0.59173423	-1.189831	0.2058212	1.0	1.0	1218	tags=83%, list=29%, signal=118%	
L-SERINE AMMONIA-LYASE ACTIVITY	L-SERINE AMMONIA-LYASE ACTIVITY		5	-0.69330525	-1.1892537	0.18773946	1.0	1.0	764	tags=60%, list=18%, signal=73%	
NEGATIVE REGULATION OF TRANSCRIPTION, DNA-TEMPLATED	NEGATIVE REGULATION OF TRANSCRIPTION, DNA-TEMPLATED		94	-0.31000254	-1.1777067	0.24031007	1.0	1.0	1216	tags=40%, list=29%, signal=56%	
REGULATION OF TRANSCRIPTION, DNA-TEMPLATED	REGULATION OF TRANSCRIPTION, DNA-TEMPLATED		260	-0.28956813	-1.1769167	0.23106061	1.0	1.0	1319	tags=43%, list=32%, signal=59%	
TRANSCRIPTION, DNA-TEMPLATED	TRANSCRIPTION, DNA-TEMPLATED		105	-0.31774807	-1.1762003	0.34117648	1.0	1.0	1319	tags=50%, list=32%, signal=72%	
POSITIVE REGULATION OF TRANSCRIPTION, DNA-TEMPLATED	POSITIVE REGULATION OF TRANSCRIPTION, DNA-TEMPLATED		69	-0.31949785	-1.1759613	0.24903475	1.0	1.0	987	tags=36%, list=24%, signal=47%	
CYTOPLASM	CYTOPLASM		797	-0.31239328	-1.1722784	0.20857699	1.0	1.0	953	tags=33%, list=23%, signal=35%	
REGULATION OF DNA-TEMPLATED TRANSCRIPTION, INITIATION	REGULATION OF DNA-TEMPLATED TRANSCRIPTION, INITIATION		11	-0.58911586	-1.1694314	0.30453563	1.0	1.0	1427	tags=73%, list=34%, signal=111%	
MALATE METABOLIC PROCESS	MALATE METABOLIC PROCESS		6	-0.6650267	-1.1676213	0.30408162	1.0	1.0	890	tags=67%, list=21%, signal=85%	
POTASSIUM ION BINDING	POTASSIUM ION BINDING		12	-0.5411681	-1.1635203	0.24680851	1.0	1.0	1196	tags=50%, list=29%, signal=70%	
CYSTEINE BIOSYNTHETIC PROCESS	CYSTEINE BIOSYNTHETIC PROCESS		8	-0.5333126	-1.1627994	0.35018727	1.0	1.0	1039	tags=63%, list=25%, signal=83%	
NEGATIVE REGULATION OF NUCLEIC ACID-TEMPLATED TRANSCRIPTION	NEGATIVE REGULATION OF NUCLEIC ACID-TEMPLATED TRANSCRIPTION		8	-0.562246	-1.161586	0.1904762	1.0	1.0	745	tags=50%, list=18%, signal=61%	
CELLULAR RESPONSE TO STARVATION	CELLULAR RESPONSE TO STARVATION		6	-0.62068963	-1.1611509	0.3277027	1.0	1.0	1580	tags=100%, list=38%, signal=161%	
RESPONSE TO TEMPERATURE STIMULUS	RESPONSE TO TEMPERATURE STIMULUS		6	-0.56058353	-1.1597214	0.35812134	1.0	1.0	450	tags=50%, list=11%, signal=56%	
SUGAR-PHOSPHATASE ACTIVITY	SUGAR-PHOSPHATASE ACTIVITY		6	-0.6265949	-1.1568216	0.38326848	1.0	1.0	1108	tags=83%, list=27%, signal=113%	
D-RIBOSE TRANSMEMBRANE TRANSPORT	D-RIBOSE TRANSMEMBRANE TRANSPORT		5	-0.7058975	-1.1527292	0.30912864	1.0	1.0	1103	tags=80%, list=27%, signal=109%	
