NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
L-THREONINE CATABOLIC PROCESS TO PROPIONATE	L-THREONINE CATABOLIC PROCESS TO PROPIONATE		7	0.80159396	1.4848118	0.087523274	0.68113273	0.994	393	tags=86%, list=9%, signal=95%	
CARBOXYPEPTIDASE ACTIVITY	CARBOXYPEPTIDASE ACTIVITY		13	0.49307632	1.4845123	0.052930057	0.65291375	0.994	1692	tags=85%, list=41%, signal=142%	
RECOMBINASE ACTIVITY	RECOMBINASE ACTIVITY		5	0.79366004	1.475417	0.029684601	0.6851872	0.994	337	tags=40%, list=8%, signal=43%	
BACTERIAL-TYPE FLAGELLUM	BACTERIAL-TYPE FLAGELLUM		24	0.8767447	1.4668198	0.0	0.70825016	0.994	476	tags=96%, list=11%, signal=108%	
ATP-BINDING CASSETTE (ABC) TRANSPORTER COMPLEX	ATP-BINDING CASSETTE (ABC) TRANSPORTER COMPLEX		100	0.3620864	1.4536247	0.0	0.75532305	0.994	341	tags=14%, list=8%, signal=15%	
HYDROLASE ACTIVITY, ACTING ON GLYCOSYL BONDS	HYDROLASE ACTIVITY, ACTING ON GLYCOSYL BONDS		37	0.41371047	1.4524899	0.0	0.73196876	0.994	235	tags=19%, list=6%, signal=20%	
INTEGRAL COMPONENT OF CELL OUTER MEMBRANE	INTEGRAL COMPONENT OF CELL OUTER MEMBRANE		14	0.46202794	1.452458	0.09565217	0.7053404	0.994	362	tags=21%, list=9%, signal=23%	
NEGATIVE REGULATION OF BACTERIAL-TYPE FLAGELLUM-DEPENDENT CELL MOTILITY	NEGATIVE REGULATION OF BACTERIAL-TYPE FLAGELLUM-DEPENDENT CELL MOTILITY		5	0.813404	1.4516296	0.07920792	0.68540055	0.994	778	tags=100%, list=19%, signal=123%	
BACTERIAL-TYPE FLAGELLUM HOOK	BACTERIAL-TYPE FLAGELLUM HOOK		10	0.9287955	1.4471058	0.023210831	0.6834237	0.994	304	tags=100%, list=7%, signal=108%	
DEAMINASE ACTIVITY	DEAMINASE ACTIVITY		6	0.73581535	1.4443593	0.08957952	0.67493385	0.994	785	tags=50%, list=19%, signal=62%	
MECHANOSENSITIVE ION CHANNEL ACTIVITY	MECHANOSENSITIVE ION CHANNEL ACTIVITY		7	0.6733345	1.4418392	0.06263499	0.66668403	0.994	428	tags=43%, list=10%, signal=48%	
MALTODEXTRIN TRANSPORT	MALTODEXTRIN TRANSPORT		5	0.9995179	1.4410901	0.0	0.6511729	0.994	6	tags=100%, list=0%, signal=100%	
CELLULAR IRON ION HOMEOSTASIS	CELLULAR IRON ION HOMEOSTASIS		9	0.58818287	1.4301338	0.039045554	0.68744093	1.0	144	tags=22%, list=3%, signal=23%	
EXTRINSIC COMPONENT OF CYTOPLASMIC SIDE OF PLASMA MEMBRANE	EXTRINSIC COMPONENT OF CYTOPLASMIC SIDE OF PLASMA MEMBRANE		12	0.46522626	1.4261588	0.051282052	0.6884165	1.0	4	tags=8%, list=0%, signal=8%	
INTRINSIC COMPONENT OF CELL OUTER MEMBRANE	INTRINSIC COMPONENT OF CELL OUTER MEMBRANE		10	0.47972563	1.4214648	0.0	0.693191	1.0	33	tags=20%, list=1%, signal=20%	
HEME BINDING	HEME BINDING		36	0.4713504	1.4213791	0.049773756	0.6742966	1.0	503	tags=31%, list=12%, signal=34%	
PHOSPHOLIPID BIOSYNTHETIC PROCESS	PHOSPHOLIPID BIOSYNTHETIC PROCESS		18	0.4516814	1.421138	0.05719921	0.65749407	1.0	1007	tags=44%, list=24%, signal=58%	
TRANSMEMBRANE SIGNALING RECEPTOR ACTIVITY	TRANSMEMBRANE SIGNALING RECEPTOR ACTIVITY		5	0.8221271	1.4208398	0.06746032	0.6405335	1.0	110	tags=40%, list=3%, signal=41%	
OXIDOREDUCTASE ACTIVITY, ACTING ON THE CH-CH GROUP OF DONORS	OXIDOREDUCTASE ACTIVITY, ACTING ON THE CH-CH GROUP OF DONORS		11	0.5684046	1.4148401	0.12701613	0.65212744	1.0	644	tags=45%, list=16%, signal=54%	
CELL REDOX HOMEOSTASIS	CELL REDOX HOMEOSTASIS		20	0.56753033	1.4145337	0.109195404	0.6375016	1.0	1396	tags=85%, list=34%, signal=127%	
NITRATE REDUCTASE ACTIVITY	NITRATE REDUCTASE ACTIVITY		7	0.80333596	1.4093914	0.09580839	0.6456341	1.0	595	tags=86%, list=14%, signal=100%	
NITRATE REDUCTASE COMPLEX	NITRATE REDUCTASE COMPLEX		6	0.85772854	1.4068294	0.09320388	0.6423761	1.0	595	tags=100%, list=14%, signal=117%	
BACTERIAL-TYPE FLAGELLUM ORGANIZATION	BACTERIAL-TYPE FLAGELLUM ORGANIZATION		18	0.8351439	1.405662	0.023354564	0.6359254	1.0	253	tags=72%, list=6%, signal=77%	
GLYCOLYTIC PROCESS	GLYCOLYTIC PROCESS		21	0.65141934	1.4052631	0.14541833	0.62230504	1.0	1136	tags=67%, list=27%, signal=91%	
PENTOSE-PHOSPHATE SHUNT	PENTOSE-PHOSPHATE SHUNT		10	0.638835	1.4032024	0.055776894	0.617281	1.0	684	tags=50%, list=16%, signal=60%	
SINGLE-SPECIES BIOFILM FORMATION ON INANIMATE SUBSTRATE	SINGLE-SPECIES BIOFILM FORMATION ON INANIMATE SUBSTRATE		8	0.56222624	1.3963832	0.11933174	0.6351603	1.0	143	tags=38%, list=3%, signal=39%	
CELLULAR RESPONSE TO OXIDATIVE STRESS	CELLULAR RESPONSE TO OXIDATIVE STRESS		12	0.6082308	1.3941993	0.06285714	0.6325731	1.0	881	tags=50%, list=21%, signal=63%	
CHAPERONE-MEDIATED PROTEIN FOLDING	CHAPERONE-MEDIATED PROTEIN FOLDING		26	0.47919223	1.3940899	0.07939914	0.62005556	1.0	285	tags=23%, list=7%, signal=25%	
EXTRACELLULAR REGION	EXTRACELLULAR REGION		12	0.5648188	1.388646	0.06275304	0.6320564	1.0	980	tags=58%, list=24%, signal=76%	
PENTOSE-PHOSPHATE SHUNT, NON-OXIDATIVE BRANCH	PENTOSE-PHOSPHATE SHUNT, NON-OXIDATIVE BRANCH		7	0.58161604	1.3711196	0.10018904	0.6947342	1.0	684	tags=43%, list=16%, signal=51%	
CELLULAR RESPONSE TO CELL ENVELOPE STRESS	CELLULAR RESPONSE TO CELL ENVELOPE STRESS		7	0.63018304	1.370228	0.07751938	0.6857587	1.0	76	tags=29%, list=2%, signal=29%	
PROTEIN SECRETION	PROTEIN SECRETION		18	0.4494672	1.3663783	0.04568528	0.6885176	1.0	436	tags=28%, list=10%, signal=31%	
CELLULAR HYPEROSMOTIC RESPONSE	CELLULAR HYPEROSMOTIC RESPONSE		5	0.7128756	1.3546277	0.1010101	0.7314169	1.0	612	tags=60%, list=15%, signal=70%	
SULFUR CARRIER ACTIVITY	SULFUR CARRIER ACTIVITY		7	0.506809	1.3447355	0.10557769	0.7664641	1.0	397	tags=29%, list=10%, signal=32%	
PROGRAMMED CELL DEATH	PROGRAMMED CELL DEATH		9	0.6877775	1.337001	0.1532567	0.78902584	1.0	811	tags=67%, list=20%, signal=83%	
METHYL ACCEPTING CHEMOTAXIS PROTEIN COMPLEX	METHYL ACCEPTING CHEMOTAXIS PROTEIN COMPLEX		7	0.6997309	1.3345495	0.15028901	0.78760815	1.0	516	tags=57%, list=12%, signal=65%	
TOXIC SUBSTANCE BINDING	TOXIC SUBSTANCE BINDING		5	0.5129472	1.3335488	0.04232804	0.77787775	1.0	467	tags=40%, list=11%, signal=45%	
ATP-BINDING CASSETTE (ABC) TRANSPORTER COMPLEX, SUBSTRATE-BINDING SUBUNIT-CONTAINING	ATP-BINDING CASSETTE (ABC) TRANSPORTER COMPLEX, SUBSTRATE-BINDING SUBUNIT-CONTAINING		32	0.48565713	1.3316866	0.15277778	0.77137625	1.0	833	tags=53%, list=20%, signal=66%	
INTRACELLULAR	INTRACELLULAR		7	0.5703391	1.3265632	0.22605364	0.7801319	1.0	435	tags=29%, list=10%, signal=32%	
DNA POLYMERASE III, CORE COMPLEX	DNA POLYMERASE III, CORE COMPLEX		5	0.6699092	1.3265338	0.0982906	0.7675352	1.0	1353	tags=80%, list=33%, signal=119%	
GLYCOGEN METABOLIC PROCESS	GLYCOGEN METABOLIC PROCESS		5	0.8066721	1.3202269	0.12045889	0.7854931	1.0	5	tags=20%, list=0%, signal=20%	
OXIDOREDUCTASE ACTIVITY, ACTING ON THE CH-OH GROUP OF DONORS, NAD OR NADP AS ACCEPTOR	OXIDOREDUCTASE ACTIVITY, ACTING ON THE CH-OH GROUP OF DONORS, NAD OR NADP AS ACCEPTOR		33	0.45642146	1.3187273	0.09	0.7802606	1.0	314	tags=24%, list=8%, signal=26%	
CALCIUM ION BINDING	CALCIUM ION BINDING		12	0.6452222	1.3178254	0.08301158	0.771815	1.0	149	tags=25%, list=4%, signal=26%	
VIRAL ENTRY INTO HOST CELL	VIRAL ENTRY INTO HOST CELL		11	0.5278482	1.3161434	0.17102137	0.7676535	1.0	0	tags=9%, list=0%, signal=9%	
FLAVIN ADENINE DINUCLEOTIDE BINDING	FLAVIN ADENINE DINUCLEOTIDE BINDING		60	0.38018307	1.313284	0.1891348	0.77261364	1.0	686	tags=33%, list=17%, signal=39%	
NITRATE ASSIMILATION	NITRATE ASSIMILATION		20	0.5969427	1.3103554	0.17113402	0.7728846	1.0	624	tags=60%, list=15%, signal=70%	
LIPID BINDING	LIPID BINDING		8	0.51449656	1.3032621	0.11513859	0.79565585	1.0	432	tags=50%, list=10%, signal=56%	
CELLULAR RESPONSE TO OSMOTIC STRESS	CELLULAR RESPONSE TO OSMOTIC STRESS		5	0.7432497	1.3019832	0.14688128	0.78963333	1.0	1069	tags=100%, list=26%, signal=135%	
PEROXIREDOXIN ACTIVITY	PEROXIREDOXIN ACTIVITY		6	0.70843333	1.3005956	0.25878003	0.7845901	1.0	986	tags=83%, list=24%, signal=109%	
OUTER MEMBRANE-BOUNDED PERIPLASMIC SPACE	OUTER MEMBRANE-BOUNDED PERIPLASMIC SPACE		173	0.32400727	1.2975175	0.09453782	0.784439	1.0	1071	tags=39%, list=26%, signal=50%	
PROTEIN DISULFIDE OXIDOREDUCTASE ACTIVITY	PROTEIN DISULFIDE OXIDOREDUCTASE ACTIVITY		13	0.34332272	1.2877877	0.16064256	0.81940293	1.0	1515	tags=77%, list=36%, signal=121%	
IRON-SULFUR CLUSTER ASSEMBLY	IRON-SULFUR CLUSTER ASSEMBLY		19	0.4811428	1.2762498	0.16176471	0.85740495	1.0	520	tags=37%, list=13%, signal=42%	
PRENYLTRANSFERASE ACTIVITY	PRENYLTRANSFERASE ACTIVITY		5	0.6261851	1.2761946	0.16938776	0.84589666	1.0	841	tags=60%, list=20%, signal=75%	
CYSTEINE-TYPE PEPTIDASE ACTIVITY	CYSTEINE-TYPE PEPTIDASE ACTIVITY		6	0.6614147	1.2760154	0.26785713	0.8357998	1.0	1135	tags=83%, list=27%, signal=115%	
SUCCINATE DEHYDROGENASE ACTIVITY	SUCCINATE DEHYDROGENASE ACTIVITY		7	0.63636696	1.2723236	0.17590822	0.8414711	1.0	323	tags=43%, list=8%, signal=46%	
PYRIDOXINE BIOSYNTHETIC PROCESS	PYRIDOXINE BIOSYNTHETIC PROCESS		8	0.50672805	1.2619716	0.1891348	0.87405115	1.0	1372	tags=75%, list=33%, signal=112%	
PYRUVATE METABOLIC PROCESS	PYRUVATE METABOLIC PROCESS		5	0.7955642	1.2553127	0.050632913	0.88948864	1.0	852	tags=100%, list=21%, signal=126%	
SUCCINATE DEHYDROGENASE (UBIQUINONE) ACTIVITY	SUCCINATE DEHYDROGENASE (UBIQUINONE) ACTIVITY		6	0.66568685	1.2545614	0.19056603	0.8801333	1.0	323	tags=50%, list=8%, signal=54%	
CARBOXYLIC ACID METABOLIC PROCESS	CARBOXYLIC ACID METABOLIC PROCESS		6	0.61399543	1.2518349	0.23129252	0.881681	1.0	93	tags=33%, list=2%, signal=34%	
HEME BIOSYNTHETIC PROCESS	HEME BIOSYNTHETIC PROCESS		7	0.5245698	1.245402	0.2055336	0.8973302	1.0	1758	tags=71%, list=42%, signal=124%	
ACETOLACTATE SYNTHASE COMPLEX	ACETOLACTATE SYNTHASE COMPLEX		5	0.7572325	1.2438921	0.21468927	0.8921395	1.0	1011	tags=100%, list=24%, signal=132%	
PILUS ASSEMBLY	PILUS ASSEMBLY		13	0.46005398	1.2435555	0.23991507	0.8822108	1.0	136	tags=15%, list=3%, signal=16%	
CELLULAR RESPONSE TO DNA DAMAGE STIMULUS	CELLULAR RESPONSE TO DNA DAMAGE STIMULUS		234	0.26844046	1.2423215	0.07777778	0.8763793	1.0	845	tags=26%, list=20%, signal=31%	
TRANSFERASE ACTIVITY, TRANSFERRING PHOSPHORUS-CONTAINING GROUPS	TRANSFERASE ACTIVITY, TRANSFERRING PHOSPHORUS-CONTAINING GROUPS		37	0.34300032	1.2346045	0.22515213	0.89948195	1.0	789	tags=38%, list=19%, signal=46%	
LIGASE ACTIVITY, FORMING CARBON-NITROGEN BONDS	LIGASE ACTIVITY, FORMING CARBON-NITROGEN BONDS		6	0.47996342	1.2318707	0.1384083	0.90119404	1.0	292	tags=33%, list=7%, signal=36%	
DNA RESTRICTION-MODIFICATION SYSTEM	DNA RESTRICTION-MODIFICATION SYSTEM		8	0.60055494	1.2275307	0.15837105	0.9100589	1.0	1279	tags=75%, list=31%, signal=108%	
GALACTITOL METABOLIC PROCESS	GALACTITOL METABOLIC PROCESS		6	0.78487265	1.2272213	0.17226891	0.9008195	1.0	822	tags=83%, list=20%, signal=104%	
RESPONSE TO ACID CHEMICAL	RESPONSE TO ACID CHEMICAL		5	0.6047828	1.2268662	0.34836066	0.8921975	1.0	1491	tags=80%, list=36%, signal=125%	
SIGNAL TRANSDUCTION	SIGNAL TRANSDUCTION		33	0.34867713	1.2255304	0.23300971	0.88776463	1.0	845	tags=39%, list=20%, signal=49%	
GLYCEROL-3-PHOSPHATE TRANSMEMBRANE TRANSPORT	GLYCEROL-3-PHOSPHATE TRANSMEMBRANE TRANSPORT		5	0.7989225	1.2224946	0.112266116	0.8888577	1.0	833	tags=80%, list=20%, signal=100%	
RESPONSE TO OXIDATIVE STRESS	RESPONSE TO OXIDATIVE STRESS		46	0.43363464	1.216804	0.31610337	0.90128326	1.0	738	tags=37%, list=18%, signal=44%	
CELLULAR RESPONSE TO HYDROGEN PEROXIDE	CELLULAR RESPONSE TO HYDROGEN PEROXIDE		10	0.60793185	1.2154348	0.21691974	0.8970958	1.0	143	tags=30%, list=3%, signal=31%	
COPPER ION TRANSPORT	COPPER ION TRANSPORT		5	0.6959033	1.2131871	0.24957842	0.8977835	1.0	1071	tags=60%, list=26%, signal=81%	
GLYCOLATE CATABOLIC PROCESS	GLYCOLATE CATABOLIC PROCESS		6	0.61351085	1.2130085	0.16595745	0.888674	1.0	340	tags=33%, list=8%, signal=36%	
CELLULAR RESPONSE TO HEAT	CELLULAR RESPONSE TO HEAT		7	0.45842734	1.2124203	0.19764706	0.8818311	1.0	101	tags=29%, list=2%, signal=29%	
PHOSPHORIC DIESTER HYDROLASE ACTIVITY	PHOSPHORIC DIESTER HYDROLASE ACTIVITY		6	0.6580944	1.2037638	0.2821497	0.90478706	1.0	404	tags=33%, list=10%, signal=37%	
LIPID METABOLIC PROCESS	LIPID METABOLIC PROCESS		74	0.3036459	1.2017018	0.21190476	0.9045719	1.0	560	tags=18%, list=13%, signal=20%	
ANTIOXIDANT ACTIVITY	ANTIOXIDANT ACTIVITY		6	0.7119929	1.1990309	0.29549903	0.9066338	1.0	986	tags=83%, list=24%, signal=109%	
CELL ADHESION INVOLVED IN SINGLE-SPECIES BIOFILM FORMATION	CELL ADHESION INVOLVED IN SINGLE-SPECIES BIOFILM FORMATION		25	0.44078922	1.1914937	0.2792208	0.9238094	1.0	1200	tags=60%, list=29%, signal=84%	
ENZYME INHIBITOR ACTIVITY	ENZYME INHIBITOR ACTIVITY		7	0.55110365	1.1818179	0.29288703	0.9522089	1.0	997	tags=57%, list=24%, signal=75%	
ACETOLACTATE SYNTHASE ACTIVITY	ACETOLACTATE SYNTHASE ACTIVITY		5	0.63491035	1.1800677	0.25904763	0.9491472	1.0	1011	tags=80%, list=24%, signal=106%	
THIOLESTER HYDROLASE ACTIVITY	THIOLESTER HYDROLASE ACTIVITY		7	0.43275052	1.1754593	0.26709402	0.9571159	1.0	1202	tags=43%, list=29%, signal=60%	
HYDROLASE ACTIVITY, ACTING ON ACID ANHYDRIDES, IN PHOSPHORUS-CONTAINING ANHYDRIDES	HYDROLASE ACTIVITY, ACTING ON ACID ANHYDRIDES, IN PHOSPHORUS-CONTAINING ANHYDRIDES		9	0.5697741	1.1728338	0.3038961	0.9568575	1.0	1347	tags=56%, list=32%, signal=82%	
RESPONSE TO IRON(III) ION	RESPONSE TO IRON(III) ION		6	0.6076595	1.1695871	0.29764453	0.958124	1.0	952	tags=50%, list=23%, signal=65%	
TRICARBOXYLIC ACID CYCLE	TRICARBOXYLIC ACID CYCLE		29	0.5883165	1.1688398	0.25211865	0.9520325	1.0	528	tags=55%, list=13%, signal=63%	
ALCOHOL DEHYDROGENASE (NADP+) ACTIVITY	ALCOHOL DEHYDROGENASE (NADP+) ACTIVITY		6	0.6772297	1.1672224	0.32777777	0.9481528	1.0	314	tags=50%, list=8%, signal=54%	
SIGMA FACTOR ACTIVITY	SIGMA FACTOR ACTIVITY		7	0.5608196	1.1642483	0.18467583	0.95043355	1.0	676	tags=43%, list=16%, signal=51%	
NEGATIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION, INITIATION	NEGATIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION, INITIATION		9	0.5550613	1.1631682	0.34304932	0.9457619	1.0	1192	tags=56%, list=29%, signal=78%	
GLUCONEOGENESIS	GLUCONEOGENESIS		14	0.4681535	1.1628661	0.3319838	0.9381503	1.0	884	tags=50%, list=21%, signal=63%	
NUCLEOTIDE METABOLIC PROCESS	NUCLEOTIDE METABOLIC PROCESS		11	0.40497026	1.1564312	0.34210527	0.95323694	1.0	790	tags=27%, list=19%, signal=34%	
MALATE METABOLIC PROCESS	MALATE METABOLIC PROCESS		6	0.68972546	1.1505867	0.25203252	0.96489525	1.0	1132	tags=83%, list=27%, signal=114%	
HEME TRANSPORT	HEME TRANSPORT		12	0.61489475	1.1483078	0.39696312	0.96625894	1.0	615	tags=42%, list=15%, signal=49%	
PERIPLASMIC SPACE	PERIPLASMIC SPACE		176	0.3369644	1.1467414	0.18241759	0.9614283	1.0	681	tags=24%, list=16%, signal=28%	
REMOVAL OF SUPEROXIDE RADICALS	REMOVAL OF SUPEROXIDE RADICALS		5	0.6746667	1.1464657	0.35171103	0.9541593	1.0	693	tags=60%, list=17%, signal=72%	
EXONUCLEASE ACTIVITY	EXONUCLEASE ACTIVITY		22	0.33579272	1.1447719	0.33333334	0.9518987	1.0	1451	tags=68%, list=35%, signal=104%	
METHYLGLYOXAL CATABOLIC PROCESS	METHYLGLYOXAL CATABOLIC PROCESS		5	0.7154286	1.1378934	0.3420523	0.96780884	1.0	991	tags=60%, list=24%, signal=79%	
CARBOHYDRATE TRANSMEMBRANE TRANSPORT	CARBOHYDRATE TRANSMEMBRANE TRANSPORT		38	0.45542005	1.1374786	0.29934925	0.9610215	1.0	500	tags=21%, list=12%, signal=24%	
COA HYDROLASE ACTIVITY	COA HYDROLASE ACTIVITY		5	0.6000161	1.131736	0.2952183	0.9736219	1.0	626	tags=40%, list=15%, signal=47%	
NUCLEOSIDE TRANSPORT	NUCLEOSIDE TRANSPORT		5	0.5972541	1.1274335	0.40152964	0.9809575	1.0	962	tags=40%, list=23%, signal=52%	
NAD(P)H DEHYDROGENASE (QUINONE) ACTIVITY	NAD(P)H DEHYDROGENASE (QUINONE) ACTIVITY		5	0.63549244	1.1254629	0.4068441	0.977998	1.0	407	tags=40%, list=10%, signal=44%	
GRAM-NEGATIVE-BACTERIUM-TYPE CELL OUTER MEMBRANE ASSEMBLY	GRAM-NEGATIVE-BACTERIUM-TYPE CELL OUTER MEMBRANE ASSEMBLY		13	0.40860376	1.1248882	0.36398467	0.97253555	1.0	1021	tags=46%, list=25%, signal=61%	
RESPONSE TO METHYLGLYOXAL	RESPONSE TO METHYLGLYOXAL		5	0.60236853	1.1180865	0.3256262	0.9865555	1.0	545	tags=60%, list=13%, signal=69%	
NUCLEOSIDE-TRIPHOSPHATE DIPHOSPHATASE ACTIVITY	NUCLEOSIDE-TRIPHOSPHATE DIPHOSPHATASE ACTIVITY		5	0.56605434	1.1173174	0.36041668	0.98125607	1.0	396	tags=40%, list=10%, signal=44%	
CARBOHYDRATE TRANSPORT	CARBOHYDRATE TRANSPORT		94	0.40743142	1.1129066	0.26544622	0.989323	1.0	620	tags=20%, list=15%, signal=23%	
MEMBRANE ORGANIZATION	MEMBRANE ORGANIZATION		5	0.625251	1.1123794	0.45961538	0.98270696	1.0	846	tags=40%, list=20%, signal=50%	
LEUCINE BIOSYNTHETIC PROCESS	LEUCINE BIOSYNTHETIC PROCESS		7	0.6162239	1.1102751	0.31111112	0.981651	1.0	415	tags=57%, list=10%, signal=63%	
UBIQUINONE BINDING	UBIQUINONE BINDING		6	0.5331015	1.1082591	0.35	0.9804199	1.0	1075	tags=67%, list=26%, signal=90%	
2 IRON, 2 SULFUR CLUSTER BINDING	2 IRON, 2 SULFUR CLUSTER BINDING		33	0.33052412	1.1056987	0.3376344	0.9818108	1.0	261	tags=15%, list=6%, signal=16%	
L-FUCOSE CATABOLIC PROCESS	L-FUCOSE CATABOLIC PROCESS		6	0.6730167	1.1025999	0.36734694	0.9849516	1.0	1361	tags=100%, list=33%, signal=149%	
SIGNAL TRANSDUCTION BY PROTEIN PHOSPHORYLATION	SIGNAL TRANSDUCTION BY PROTEIN PHOSPHORYLATION		28	0.30437267	1.1016376	0.35067436	0.97989786	1.0	1089	tags=46%, list=26%, signal=63%	
CELLULAR OXIDANT DETOXIFICATION	CELLULAR OXIDANT DETOXIFICATION		17	0.4387904	1.1012961	0.39925373	0.97392905	1.0	986	tags=53%, list=24%, signal=69%	
BACTERIAL-TYPE CIS-REGULATORY REGION SEQUENCE-SPECIFIC DNA BINDING	BACTERIAL-TYPE CIS-REGULATORY REGION SEQUENCE-SPECIFIC DNA BINDING		29	0.34202558	1.0948553	0.33333334	0.9860322	1.0	1064	tags=41%, list=26%, signal=55%	
HYDROLASE ACTIVITY, HYDROLYZING O-GLYCOSYL COMPOUNDS	HYDROLASE ACTIVITY, HYDROLYZING O-GLYCOSYL COMPOUNDS		26	0.32703593	1.0947049	0.41439688	0.9790768	1.0	284	tags=15%, list=7%, signal=16%	
THREONINE CATABOLIC PROCESS	THREONINE CATABOLIC PROCESS		10	0.49467933	1.0943753	0.3010101	0.97292733	1.0	757	tags=50%, list=18%, signal=61%	
FUCOSE METABOLIC PROCESS	FUCOSE METABOLIC PROCESS		7	0.6018266	1.09375	0.40711462	0.96755767	1.0	1361	tags=71%, list=33%, signal=106%	
UBIQUINONE BIOSYNTHETIC PROCESS	UBIQUINONE BIOSYNTHETIC PROCESS		15	0.37792537	1.0826744	0.32238194	0.99847597	1.0	979	tags=47%, list=24%, signal=61%	
DNA CATABOLIC PROCESS	DNA CATABOLIC PROCESS		10	0.4586031	1.0818585	0.4074074	0.993614	1.0	1279	tags=60%, list=31%, signal=86%	
