NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
TRANSPORTER ACTIVITY	TRANSPORTER ACTIVITY		65	0.37323713	1.3624706	0.045751635	0.84863317	1.0	1214	tags=48%, list=29%, signal=66%	
TETRAPYRROLE BIOSYNTHETIC PROCESS	TETRAPYRROLE BIOSYNTHETIC PROCESS		5	0.61678576	1.361765	0.12984496	0.83605415	1.0	48	tags=20%, list=1%, signal=20%	
PROTEIN DOMAIN SPECIFIC BINDING	PROTEIN DOMAIN SPECIFIC BINDING		11	0.62590206	1.360929	0.024774775	0.824639	1.0	1009	tags=55%, list=24%, signal=72%	
COA HYDROLASE ACTIVITY	COA HYDROLASE ACTIVITY		5	0.7240031	1.3594277	0.021072797	0.8142292	1.0	419	tags=40%, list=10%, signal=44%	
DIPEPTIDE TRANSMEMBRANE TRANSPORTER ACTIVITY	DIPEPTIDE TRANSMEMBRANE TRANSPORTER ACTIVITY		18	0.49685937	1.35794	0.15717092	0.80463815	1.0	1073	tags=56%, list=26%, signal=75%	
DIPEPTIDE TRANSMEMBRANE TRANSPORT	DIPEPTIDE TRANSMEMBRANE TRANSPORT		18	0.49685928	1.3579398	0.15717092	0.79028094	1.0	1073	tags=56%, list=26%, signal=75%	
L-PHENYLALANINE TRANSMEMBRANE TRANSPORTER ACTIVITY	L-PHENYLALANINE TRANSMEMBRANE TRANSPORTER ACTIVITY		5	0.71028143	1.3575112	0.02494331	0.77839035	1.0	329	tags=80%, list=8%, signal=87%	
STRUCTURAL MOLECULE ACTIVITY	STRUCTURAL MOLECULE ACTIVITY		13	0.49575695	1.3555917	0.08478261	0.77460176	1.0	64	tags=23%, list=2%, signal=23%	
RESPONSE TO UNFOLDED PROTEIN	RESPONSE TO UNFOLDED PROTEIN		5	0.6531106	1.353691	0.15140186	0.7709858	1.0	443	tags=40%, list=11%, signal=45%	
AMINOPEPTIDASE ACTIVITY	AMINOPEPTIDASE ACTIVITY		13	0.5121957	1.3427225	0.1037037	0.8076197	1.0	355	tags=38%, list=9%, signal=42%	
PHENYLALANINE TRANSPORT	PHENYLALANINE TRANSPORT		7	0.6008657	1.3410194	0.020737328	0.801314	1.0	389	tags=71%, list=9%, signal=79%	
AROMATIC COMPOUND CATABOLIC PROCESS	AROMATIC COMPOUND CATABOLIC PROCESS		13	0.65735084	1.3406979	0.09421842	0.7893548	1.0	968	tags=77%, list=23%, signal=100%	
DNA-DIRECTED DNA POLYMERASE ACTIVITY	DNA-DIRECTED DNA POLYMERASE ACTIVITY		14	0.60600257	1.338379	0.12661499	0.78605634	1.0	125	tags=29%, list=3%, signal=29%	
RESPONSE TO ANTIBIOTIC	RESPONSE TO ANTIBIOTIC		95	0.3701492	1.3355232	0.10798122	0.78588843	1.0	531	tags=24%, list=13%, signal=27%	
RESPONSE TO X-RAY	RESPONSE TO X-RAY		17	0.4810312	1.3336818	0.061810154	0.7804723	1.0	962	tags=41%, list=23%, signal=53%	
CELLULAR RESPONSE TO ACIDIC PH	CELLULAR RESPONSE TO ACIDIC PH		9	0.630947	1.3269948	0.082959644	0.7908149	1.0	950	tags=67%, list=23%, signal=86%	
SULFUR COMPOUND METABOLIC PROCESS	SULFUR COMPOUND METABOLIC PROCESS		13	0.6633152	1.3263974	0.112033196	0.78077954	1.0	1209	tags=77%, list=29%, signal=108%	
AMINO ACID TRANSPORT	AMINO ACID TRANSPORT		81	0.3517225	1.3251573	0.13170731	0.7737943	1.0	584	tags=28%, list=14%, signal=32%	
PROTEIN-CONTAINING COMPLEX	PROTEIN-CONTAINING COMPLEX		21	0.46217808	1.322376	0.055415615	0.7741282	1.0	443	tags=29%, list=11%, signal=32%	
GLYCINE BETAINE TRANSPORT	GLYCINE BETAINE TRANSPORT		11	0.56528616	1.3187041	0.114754096	0.7784105	1.0	448	tags=36%, list=11%, signal=41%	
SOLUTE:PROTON ANTIPORTER ACTIVITY	SOLUTE:PROTON ANTIPORTER ACTIVITY		9	0.59034026	1.2945458	0.079166666	0.86472946	1.0	170	tags=33%, list=4%, signal=35%	
NEGATIVE REGULATION OF TRANSCRIPTION, DNA-TEMPLATED	NEGATIVE REGULATION OF TRANSCRIPTION, DNA-TEMPLATED		94	0.30342832	1.2937708	0.11883408	0.85797995	1.0	545	tags=19%, list=13%, signal=22%	
RESPONSE TO HEAT	RESPONSE TO HEAT		52	0.44907257	1.2858684	0.30786026	0.88156015	1.0	1110	tags=50%, list=27%, signal=67%	
TRANSCRIPTION REGULATORY REGION DNA BINDING	TRANSCRIPTION REGULATORY REGION DNA BINDING		27	0.47631347	1.2842325	0.15483871	0.87676954	1.0	1432	tags=67%, list=34%, signal=101%	
PHOSPHORIC DIESTER HYDROLASE ACTIVITY	PHOSPHORIC DIESTER HYDROLASE ACTIVITY		6	0.55001	1.2828329	0.12938596	0.87285775	1.0	246	tags=33%, list=6%, signal=35%	
ANTIOXIDANT ACTIVITY	ANTIOXIDANT ACTIVITY		6	0.66463304	1.2793876	0.20470588	0.87806743	1.0	59	tags=33%, list=1%, signal=34%	
3-PHENYLPROPIONATE CATABOLIC PROCESS	3-PHENYLPROPIONATE CATABOLIC PROCESS		11	0.70604634	1.2781162	0.1513158	0.87055093	1.0	968	tags=82%, list=23%, signal=106%	
ELECTRON TRANSPORT COUPLED PROTON TRANSPORT	ELECTRON TRANSPORT COUPLED PROTON TRANSPORT		9	0.6157593	1.2772695	0.078341015	0.862379	1.0	447	tags=56%, list=11%, signal=62%	
LIGASE ACTIVITY, FORMING CARBON-NITROGEN BONDS	LIGASE ACTIVITY, FORMING CARBON-NITROGEN BONDS		6	0.6400361	1.2737502	0.104803495	0.8671185	1.0	98	tags=33%, list=2%, signal=34%	
HEME BIOSYNTHETIC PROCESS	HEME BIOSYNTHETIC PROCESS		7	0.6039448	1.2656977	0.14541833	0.8885711	1.0	1119	tags=71%, list=27%, signal=98%	
FATTY ACID BETA-OXIDATION	FATTY ACID BETA-OXIDATION		15	0.5610849	1.2595234	0.17299578	0.9034326	1.0	878	tags=53%, list=21%, signal=67%	
DNA-DEPENDENT ATPASE ACTIVITY	DNA-DEPENDENT ATPASE ACTIVITY		10	0.5315391	1.2570888	0.20169851	0.90193605	1.0	151	tags=30%, list=4%, signal=31%	
ATP-DEPENDENT PEPTIDASE ACTIVITY	ATP-DEPENDENT PEPTIDASE ACTIVITY		7	0.4942809	1.2570827	0.15851273	0.8911197	1.0	872	tags=57%, list=21%, signal=72%	
SIDEROPHORE TRANSPORT	SIDEROPHORE TRANSPORT		8	0.77168787	1.2561046	0.053304903	0.884888	1.0	864	tags=88%, list=21%, signal=110%	
DNA BINDING	DNA BINDING		414	0.2389662	1.2525984	0.08192771	0.8892164	1.0	951	tags=26%, list=23%, signal=31%	
RESPONSE TO OXIDATIVE STRESS	RESPONSE TO OXIDATIVE STRESS		46	0.39936703	1.2473031	0.29116946	0.9022019	1.0	365	tags=30%, list=9%, signal=33%	
TRANSPOSITION	TRANSPOSITION		5	0.6601305	1.244993	0.15047619	0.9011133	1.0	721	tags=40%, list=17%, signal=48%	
XENOBIOTIC TRANSMEMBRANE TRANSPORTER ACTIVITY	XENOBIOTIC TRANSMEMBRANE TRANSPORTER ACTIVITY		28	0.43199712	1.2439092	0.26638478	0.89689004	1.0	591	tags=32%, list=14%, signal=37%	
BACTERIAL-TYPE RNA POLYMERASE CORE ENZYME BINDING	BACTERIAL-TYPE RNA POLYMERASE CORE ENZYME BINDING		5	0.6546803	1.2407765	0.15904139	0.89844435	1.0	951	tags=40%, list=23%, signal=52%	
GLYCOLATE CATABOLIC PROCESS	GLYCOLATE CATABOLIC PROCESS		6	0.56702995	1.2377565	0.18281938	0.9019688	1.0	1180	tags=50%, list=28%, signal=70%	
ACYL-COA DEHYDROGENASE ACTIVITY	ACYL-COA DEHYDROGENASE ACTIVITY		5	0.69531506	1.2375364	0.14444445	0.8923566	1.0	824	tags=40%, list=20%, signal=50%	
HEAT SHOCK PROTEIN BINDING	HEAT SHOCK PROTEIN BINDING		5	0.657722	1.2338663	0.20247933	0.8976374	1.0	443	tags=40%, list=11%, signal=45%	
SIGNALING RECEPTOR ACTIVITY	SIGNALING RECEPTOR ACTIVITY		7	0.76800853	1.2320559	0.13432837	0.8946657	1.0	864	tags=86%, list=21%, signal=108%	
ATPASE ACTIVITY	ATPASE ACTIVITY		117	0.30556124	1.229531	0.15463917	0.8939159	1.0	717	tags=27%, list=17%, signal=32%	
ENTEROBACTIN BIOSYNTHETIC PROCESS	ENTEROBACTIN BIOSYNTHETIC PROCESS		8	0.76863694	1.2258976	0.17090909	0.8993409	1.0	966	tags=100%, list=23%, signal=130%	
PROTEIN SECRETION BY THE TYPE II SECRETION SYSTEM	PROTEIN SECRETION BY THE TYPE II SECRETION SYSTEM		12	0.607958	1.221833	0.18446602	0.9069436	1.0	784	tags=67%, list=19%, signal=82%	
ETHANOLAMINE CATABOLIC PROCESS	ETHANOLAMINE CATABOLIC PROCESS		13	0.50613654	1.213991	0.27234042	0.9247717	1.0	1422	tags=54%, list=34%, signal=82%	
XENOBIOTIC DETOXIFICATION BY TRANSMEMBRANE EXPORT ACROSS THE PLASMA MEMBRANE	XENOBIOTIC DETOXIFICATION BY TRANSMEMBRANE EXPORT ACROSS THE PLASMA MEMBRANE		27	0.43765715	1.2117146	0.18981482	0.9227024	1.0	304	tags=22%, list=7%, signal=24%	
TRANSFERASE ACTIVITY, TRANSFERRING ALKYL OR ARYL (OTHER THAN METHYL) GROUPS	TRANSFERASE ACTIVITY, TRANSFERRING ALKYL OR ARYL (OTHER THAN METHYL) GROUPS		8	0.5950549	1.2086042	0.2988764	0.9255676	1.0	896	tags=50%, list=22%, signal=64%	
BILE ACID TRANSMEMBRANE TRANSPORTER ACTIVITY	BILE ACID TRANSMEMBRANE TRANSPORTER ACTIVITY		12	0.6346317	1.2077754	0.19518073	0.9192443	1.0	157	tags=33%, list=4%, signal=35%	
COBALT ION TRANSPORT	COBALT ION TRANSPORT		5	0.6960968	1.2058464	0.23950617	0.9170246	1.0	600	tags=40%, list=14%, signal=47%	
PROTON TRANSMEMBRANE TRANSPORTER ACTIVITY	PROTON TRANSMEMBRANE TRANSPORTER ACTIVITY		11	0.45686698	1.2055658	0.13053097	0.9095968	1.0	447	tags=45%, list=11%, signal=51%	
BILE ACID AND BILE SALT TRANSPORT	BILE ACID AND BILE SALT TRANSPORT		15	0.58174694	1.2037662	0.2278481	0.90732396	1.0	157	tags=27%, list=4%, signal=28%	
CELLULAR PROTEIN MODIFICATION PROCESS	CELLULAR PROTEIN MODIFICATION PROCESS		20	0.36888275	1.2026894	0.15050167	0.90377325	1.0	218	tags=25%, list=5%, signal=26%	
DNA-BINDING TRANSCRIPTION REPRESSOR ACTIVITY	DNA-BINDING TRANSCRIPTION REPRESSOR ACTIVITY		28	0.31764448	1.2021983	0.16616315	0.8975964	1.0	496	tags=21%, list=12%, signal=24%	
DAMAGED DNA BINDING	DAMAGED DNA BINDING		8	0.6742516	1.1991427	0.23002422	0.9001587	1.0	151	tags=38%, list=4%, signal=39%	
L-LEUCINE TRANSMEMBRANE TRANSPORTER ACTIVITY	L-LEUCINE TRANSMEMBRANE TRANSPORTER ACTIVITY		6	0.59213036	1.198437	0.21822542	0.8938355	1.0	389	tags=67%, list=9%, signal=73%	
HYDROLASE ACTIVITY, ACTING ON CARBON-NITROGEN (BUT NOT PEPTIDE) BONDS	HYDROLASE ACTIVITY, ACTING ON CARBON-NITROGEN (BUT NOT PEPTIDE) BONDS		14	0.4471862	1.198264	0.19502075	0.88595843	1.0	1142	tags=57%, list=27%, signal=79%	
FLAVIN ADENINE DINUCLEOTIDE BINDING	FLAVIN ADENINE DINUCLEOTIDE BINDING		60	0.29888767	1.1979349	0.2044335	0.8791817	1.0	831	tags=35%, list=20%, signal=43%	
RECOMBINASE ACTIVITY	RECOMBINASE ACTIVITY		5	0.63465494	1.1970744	0.29766536	0.87434083	1.0	1161	tags=60%, list=28%, signal=83%	
SIDEROPHORE UPTAKE TRANSMEMBRANE TRANSPORTER ACTIVITY	SIDEROPHORE UPTAKE TRANSMEMBRANE TRANSPORTER ACTIVITY		8	0.68371534	1.1865948	0.18984963	0.90597945	1.0	1318	tags=100%, list=32%, signal=146%	
VALINE BIOSYNTHETIC PROCESS	VALINE BIOSYNTHETIC PROCESS		12	0.6152509	1.1837026	0.22052401	0.90715075	1.0	1350	tags=83%, list=33%, signal=123%	
MRNA CATABOLIC PROCESS	MRNA CATABOLIC PROCESS		15	0.33765396	1.179493	0.30963302	0.9154111	1.0	838	tags=33%, list=20%, signal=42%	
RESPONSE TO IRON(III) ION	RESPONSE TO IRON(III) ION		6	0.5891006	1.1785831	0.26705652	0.91121733	1.0	1709	tags=100%, list=41%, signal=170%	
RESPONSE TO COLD	RESPONSE TO COLD		13	0.5142076	1.1757504	0.28414097	0.9133164	1.0	990	tags=62%, list=24%, signal=81%	
DRUG EXPORT	DRUG EXPORT		7	0.5645306	1.1751196	0.3831579	0.90846133	1.0	887	tags=57%, list=21%, signal=73%	
HYDROLASE ACTIVITY, ACTING ON ESTER BONDS	HYDROLASE ACTIVITY, ACTING ON ESTER BONDS		17	0.364616	1.1709793	0.17485265	0.91608405	1.0	837	tags=35%, list=20%, signal=44%	
CELLULAR METABOLIC PROCESS	CELLULAR METABOLIC PROCESS		7	0.5017702	1.167748	0.25432098	0.9178127	1.0	412	tags=29%, list=10%, signal=32%	
DNA DEALKYLATION INVOLVED IN DNA REPAIR	DNA DEALKYLATION INVOLVED IN DNA REPAIR		5	0.63019574	1.1648378	0.30632412	0.9204426	1.0	1079	tags=60%, list=26%, signal=81%	
PROTEIN REPAIR	PROTEIN REPAIR		10	0.48140633	1.1633917	0.3018868	0.9170224	1.0	827	tags=40%, list=20%, signal=50%	
UBIQUINONE BINDING	UBIQUINONE BINDING		6	0.5784434	1.1560928	0.34042552	0.9340055	1.0	753	tags=50%, list=18%, signal=61%	
ISOLEUCINE BIOSYNTHETIC PROCESS	ISOLEUCINE BIOSYNTHETIC PROCESS		12	0.6330052	1.155944	0.33033708	0.92711836	1.0	1350	tags=75%, list=33%, signal=111%	
PHENYLACETATE CATABOLIC PROCESS	PHENYLACETATE CATABOLIC PROCESS		14	0.5849306	1.1534289	0.28070176	0.9271272	1.0	1589	tags=86%, list=38%, signal=138%	
METHYL ACCEPTING CHEMOTAXIS PROTEIN COMPLEX	METHYL ACCEPTING CHEMOTAXIS PROTEIN COMPLEX		7	0.58800906	1.1526747	0.27592954	0.9218397	1.0	1411	tags=57%, list=34%, signal=86%	
DOUBLE-STRANDED DNA BINDING	DOUBLE-STRANDED DNA BINDING		8	0.55612683	1.1510184	0.3258427	0.92014235	1.0	16	tags=13%, list=0%, signal=13%	
ACETOLACTATE SYNTHASE COMPLEX	ACETOLACTATE SYNTHASE COMPLEX		5	0.67550623	1.1488645	0.3069853	0.92045504	1.0	1350	tags=100%, list=33%, signal=148%	
PROTEIN-DNA COMPLEX	PROTEIN-DNA COMPLEX		47	0.26283595	1.1471318	0.15972222	0.91936094	1.0	332	tags=15%, list=8%, signal=16%	
PYRUVATE METABOLIC PROCESS	PYRUVATE METABOLIC PROCESS		5	0.62226814	1.1464155	0.3436807	0.9154992	1.0	831	tags=60%, list=20%, signal=75%	
TRNA PSEUDOURIDINE SYNTHESIS	TRNA PSEUDOURIDINE SYNTHESIS		7	0.5252685	1.1415504	0.4232558	0.92387784	1.0	641	tags=43%, list=15%, signal=51%	
FERRIC-ENTEROBACTIN IMPORT INTO CELL	FERRIC-ENTEROBACTIN IMPORT INTO CELL		6	0.72244996	1.140911	0.32313576	0.91885066	1.0	1156	tags=100%, list=28%, signal=138%	
PHOSPHOLIPID TRANSPORT	PHOSPHOLIPID TRANSPORT		6	0.666268	1.1406797	0.3090909	0.9125651	1.0	369	tags=83%, list=9%, signal=91%	
CHOLINE TRANSPORT	CHOLINE TRANSPORT		5	0.61851966	1.1369597	0.39451477	0.9173832	1.0	448	tags=40%, list=11%, signal=45%	
FERRIC-ENTEROBACTIN TRANSMEMBRANE TRANSPORTER ACTIVITY	FERRIC-ENTEROBACTIN TRANSMEMBRANE TRANSPORTER ACTIVITY		5	0.7222758	1.1357025	0.34799236	0.9145123	1.0	1156	tags=100%, list=28%, signal=138%	
SIGNAL PEPTIDE PROCESSING	SIGNAL PEPTIDE PROCESSING		5	0.41683683	1.1338801	0.20472442	0.91295666	1.0	384	tags=40%, list=9%, signal=44%	
CYSTEINE EXPORT ACROSS PLASMA MEMBRANE	CYSTEINE EXPORT ACROSS PLASMA MEMBRANE		5	0.54116464	1.1336024	0.3388582	0.9070696	1.0	1330	tags=60%, list=32%, signal=88%	
HSLUV PROTEASE COMPLEX	HSLUV PROTEASE COMPLEX		5	0.6544851	1.1266159	0.41613588	0.9229468	1.0	1009	tags=80%, list=24%, signal=106%	
ACETOLACTATE SYNTHASE ACTIVITY	ACETOLACTATE SYNTHASE ACTIVITY		5	0.67550623	1.1261262	0.32769555	0.9187799	1.0	1350	tags=100%, list=33%, signal=148%	
AEROBIC RESPIRATION	AEROBIC RESPIRATION		25	0.43261087	1.1250147	0.36384976	0.9160014	1.0	753	tags=40%, list=18%, signal=49%	
ANTIPORTER ACTIVITY	ANTIPORTER ACTIVITY		24	0.3493591	1.1248174	0.2264151	0.90997964	1.0	648	tags=29%, list=16%, signal=34%	
ACETYL-COA C-ACYLTRANSFERASE ACTIVITY	ACETYL-COA C-ACYLTRANSFERASE ACTIVITY		5	0.62066746	1.1193721	0.41509435	0.9194147	1.0	1148	tags=80%, list=28%, signal=110%	
